Артикул,Номенклатура,Количество,Цена,Сумма
nv-pb-md-1,Встраиваемый силовой щит \"Nova\"\" 12 модулей с металлической дверью IP40 EKF\",1,8301.55,8301.55
nv-pb-md-1,Встраиваемый силовой щит \"Nova\"\" 12 модулей с металлической дверью IP40 EKF\",3,8301.55,24904.65
rcbo6-1pn-10B-100-a-av,Дифференциальный автомат DVA-6 1P+N 10А (B) 100мА (A) 6кА EKF AVERES,7,8430.24,59011.68
uvr32-31a31240-r,Выключатель-разъединитель ВР32У-31A31240-R 100А. 1 направ. с д/г камерами. с передней смещённой рукояткой EKF MAXima,2,7259.62,14519.24
km-1-16-20,Контактор модульный КМ 16А 2NО (1 мод.) EKF PROxima,1,2057.86,2057.86
